STATE,State_Population_Total,Registered_Voters_Total,%Registered_Total,Total_Voters,Total_Voters%,Male_Population_Total,Male_Registered_Voters_Total,Male_Registered_Voters%,Male_Total_Voted,Male_%Voted,Female_Population_Total,Female_Registered_Voters_Total,Female_Registered_Voters%,Female_Total_Voted,Female_%Voted,White_non-Hispanic_Population_Total,White_non-Hispanic_Registered_Voters_Total,White_non-Hispanic_Registered_Voters %,White_non-Hispanic_Total_Voted,White_non-Hispanic_%Voted,Black_Population_Total,Black_Registered _Voters_Total,Black_Registered_Voters%,Black_Total_Voted,Black_%Voted,Asian_Population_Total,Asian_Registered_Voters_Total,Asian_Registered_Voters%,Asian_Total_Voted,Asian_%Voted,Hispanic_Population_Total,Hispanic_Registered_Voters_Total,Hispanic_Registered_Voters%,Hispanic_Total_Voted,Hispanic_%Voted,18-24_Population_Total,18-24_Registered_Voters_Total,18-24_Registered_Voters%,18-24_Total_Voted,18-24_%Voted,25-34_Population_Total,25-34_Registered_Voters_Total,25-34_Registered_Voters%,25-34_Total_Voted,25-34_%Voted,35-44_Population_Total,35-44_Registered_Voters_Total,35-44_Registered_Voters%,35-44_Total_Voted,35-44_%Voted,45-64_Population_Total,45-64_Registered_Voters_Total,45-64_Registered_Voters%,45-64_Total_Voted,45-64_%Voted,65+_Population_Total,65+_Registered_Voters_Total,65+_Registered_Voters%,65+_Total_Voted,65+_%Voted
ILLINOIS,9732,6068,62.4,4740,48.7,4711,2794,59.3,2183,46.3,5021,3274,65.2,2557,50.9,6248,4436,71,3494,55.9,1334,861,64.5,723,54.2,673,205,30.5,150,22.4,1458,537,36.8,354,24.3,1199,531,44.3,339,28.3,1721,955,55.5,650,37.8,1588,923,58.1,680,42.9,3407,2317,68,1920,56.3,1817,1343,73.9,1151,63.3
INDIANA,5006,3131,62.5,2364,47.2,2404,1522,63.3,1115,46.4,2602,1609,61.8,1249,48,3937,2634,66.9,1996,50.7,484,299,61.8,221,45.7,138,40,28.9,27,19.7,337,96,28.4,77,22.9,652,288,44.2,181,27.8,834,437,52.4,285,34.2,792,515,65,358,45.2,1745,1156,66.2,959,55,983,735,74.8,580,59
IOWA,2376,1658,69.8,1335,56.2,1176,833,70.8,660,56.1,1201,825,68.7,675,56.2,2007,1499,74.7,1206,60.1,89,47,52.6,41,46.4,62,14,0,12,0,206,85,41.5,69,33.5,287,133,46.3,89,30.9,445,273,61.4,192,43.2,341,228,66.8,174,51,764,557,72.9,462,60.5,539,467,86.5,418,77.4
KANSAS,2149,1449,67.4,1152,53.6,1049,692,66,554,52.8,1100,757,68.8,598,54.4,1667,1249,74.9,982,58.9,129,65,50.1,58,44.9,59,33,0,33,0,231,71,30.8,55,23.9,262,152,58.1,93,35.4,358,175,48.8,134,37.3,378,234,61.8,180,47.5,723,540,74.6,447,61.8,428,349,81.5,299,69.9
KENTUCKY,3370,2389,70.9,1746,51.8,1627,1092,67.1,789,48.5,1743,1297,74.5,958,55,2928,2183,74.5,1579,53.9,248,164,66.2,131,52.8,82,14,17.4,12,14.1,96,15,15.8,12,12.9,436,228,52.2,100,22.9,539,332,61.6,236,43.7,518,344,66.4,242,46.8,1079,836,77.5,662,61.3,798,649,81.4,507,63.5
LOUISIANA,3458,2263,65.4,1656,47.9,1635,1032,63.1,774,47.3,1823,1231,67.5,882,48.4,2047,1455,71.1,1046,51.1,1076,688,63.9,531,49.4,60,17,0,9,0,189,56,29.7,35,18.4,409,202,49.3,98,24,587,335,57.2,217,37,607,376,61.9,257,42.2,1144,791,69.1,633,55.3,711,560,78.7,452,63.5
MAINE,1074,828,77.1,693,64.5,527,397,75.4,329,62.4,546,431,78.8,364,66.6,1001,788,78.7,666,66.5,17,5,0.00001,3,0.00001,20,6,0.00001,6,0.00001,11,8,0,3,0,89,46,51.5,26,29.2,174,108,61.9,88,50.3,149,122,81.5,93,62.4,385,317,82.5,273,70.9,276,235,85.3,213,77.3
MARYLAND,4666,3095,66.3,2320,49.7,2217,1457,65.7,1107,49.9,2449,1639,66.9,1213,49.5,2466,1869,75.8,1414,57.3,1414,856,60.5,630,44.5,315,142,44.9,94,29.9,500,195,39,158,31.7,653,354,54.2,220,33.7,780,477,61.2,302,38.7,689,444,64.5,340,49.3,1604,1101,68.6,902,56.2,939,719,76.6,556,59.2
MASSACHUSETTS,5460,3345,61.3,2731,50,2594,1556,60,1280,49.4,2866,1789,62.4,1451,50.6,4006,2737,68.3,2266,56.6,454,240,52.8,194,42.7,416,113,27,101,24.2,565,249,44.1,177,31.3,644,240,37.3,188,29.3,1038,549,52.8,417,40.2,813,429,52.8,324,39.8,1870,1326,70.9,1121,59.9,1095,801,73.2,681,62.2
MICHIGAN,7657,5453,71.2,4418,57.7,3688,2563,69.5,2072,56.2,3970,2890,72.8,2346,59.1,6033,4526,75,3648,60.5,1027,670,65.2,557,54.2,242,91,37.5,72,29.9,241,99,41.1,81,33.8,841,455,54.1,279,33.2,1300,823,63.3,589,45.3,1152,793,68.8,625,54.3,2733,2071,75.8,1733,63.4,1631,1311,80.4,1190,73
